thread_id,inbound_text,true_intent,agent_intent,true_action,agent_action,agent_draft_reply,llm_judge_groundedness,llm_judge_routing,llm_judge_justification,human_score
amz_thread_0183,Please explain this @AmazonHelp https://t.co/VJ4d1ii4PH,Delivery Tracking,Delivery Tracking,ESCALATE,AUTO_HANDLE,"@Customer We’re sorry you’re having trouble locating your order. According to our system, it should arrive on the delivery date confirmed in your email. If that date has passed and you still haven’t received it, please let us know so we can look into it right away. ^DR",5,5,"The response stays generic and asks for clarification, correctly auto‑handling a delivery‑tracking query.",
amz_thread_0159,@AmazonHelp Had a package scheduled for delivery today and it didn’t come I’m not happy,Other,Delivery Tracking,ESCALATE,AUTO_HANDLE,@Customer I’m sorry your package didn’t arrive as expected. Could you please provide the order number or share the latest tracking status so we can look into this for you? ^LR,5,1,Grounded but mistakenly auto‑handles an 'Other' issue that requires escalation.,
amz_thread_0162,"Worst experience in shopping no product no refund , been 40 days. F&amp;@694 it @115821",Refund Inquiry,Delivery Tracking,ESCALATE,AUTO_HANDLE,"I’m really sorry to hear about the delay and the inconvenience it’s caused. Unfortunately, we can’t view order details here on Twitter, but we want to get this sorted for you as quickly as possible. Please reach out to our support team through the Amazon Help Center so we can investigate the status of your order and arrange a refund if needed. Thank you for your patience.",5,1,Reply is generic but should be ESCALATE rather than AUTO_HANDLE.,
amz_thread_0006,@115830 my package was ‘accidentally’ opened.. 4 items missing worth £97. You need better delivery drivers!! https://t.co/f6SaVBSMqM,Damaged/Wrong Item,Damaged/Wrong Item,ESCALATE,ESCALATE,I’m sorry to hear your package arrived opened and items were missing. We want to resolve this for you as quickly as possible. Please get in touch with us via chat or phone so we can investigate and arrange a replacement or refund. You can start the conversation here: https://www.amazon.com/contact-us,5,5,Reply is generic and matches required escalation policy.,
amz_thread_0295,@115821 it’s not nice to upset a kid (my daughter) on Halloween waitin’ for her dress it was prime and extra paid and you guys failed her !,Other,Delivery Tracking,AUTO_HANDLE,AUTO_HANDLE,"@115821 I’m really sorry your daughter’s dress didn’t arrive in time for Halloween. Could you share the order number or the email address used for the purchase so we can check the shipment details? If you have the confirmation email handy, let us know the expected delivery date and whether it was fulfilled by Amazon or a third‑party seller. We’ll work to get this sorted for you as quickly as possible. ^RW",5,1,Auto‑handled an 'Other' issue (should be escalated).,
amz_thread_0008,"Thanks for the style advice, @115833 look ...I think? #Halloween2017 #flamingo https://t.co/XvI54La043",Other,Other,AUTO_HANDLE,ESCALATE,@115833 Glad you liked the style advice! The flamingo look is a fun choice for Halloween. Let us know if you need any more tips. ^SE,5,5,Escalated appropriately for a non‑support 'Other' tweet.,
amz_thread_0031,@AmazonHelp Thats the thing I told customer service. I created a new email address for the Prime trial and forgot it. What can I do so I'm not charged?,Account Access,Account Access,ESCALATE,ESCALATE,"@AmazonHelp Hi! If you signed up for a Prime trial with a new email you can’t access, you can still stop the auto‑renewal. Please use the account‑settings link we’ve shared to turn off the renewal, or reach out through the Help Center so we can verify your account and ensure you aren’t charged. Let us know if you need any further assistance.",5,5,The reply provides generic guidance and follows escalation policy for account access.,
amz_thread_0020,"@AmazonHelp delivery I paid for today,didn’t arrive.why not?i paid enough for it.where is it??I’m unhappy.refund the delivery charge",Refund Inquiry,Delivery Tracking,ESCALATE,AUTO_HANDLE,@AmazonHelp I'm sorry your delivery didn't arrive as expected. Please contact us via phone or chat using this link so we can investigate and address any delivery‑charge concerns: https://t.co/JzP7hlA23B,5,1,Reply is generic but the action should be ESCALATE for a refund inquiry.,
amz_thread_0103,"I swear Amazon are trying to annoy me, I've just ordered another package and had a shipped to wrong carrier facility message again and my order may be delayed. 1st echo dot and then 3 packages lost and now another echo dot possibly delayed.",Other,Delivery Tracking,ESCALATE,AUTO_HANDLE,I'm sorry for the ongoing trouble with your deliveries! Please reach out to us so we can investigate the carrier issue and get your Echo Dot to you as quickly as possible: https://t.co/JzP7hlA23B,5,1,Reply is generic but action should be ESCALATE for an 'Other' issue.,
amz_thread_0135,"I lost my signal while searching something in @115821 and since the page didn't load, this shows up...I am not even mad. #DogsForLife https://t.co/QhdOmksrrY",Other,Other,ESCALATE,ESCALATE,"We’re sorry you’re having trouble loading the page. Please try refreshing, clearing your browser’s cache and cookies, and checking your internet connection. If it’s still not working, let us know and we’ll look into it further. ^LM",5,5,No hallucinated specifics and proper escalation for a non‑delivery issue.,
amz_thread_0203,@AmazonHelp @115766 Can I get a confirmation that it will ship tomorrow?,Delivery Tracking,Delivery Tracking,AUTO_HANDLE,AUTO_HANDLE,"@115766 We always strive to have your order delivered by the estimated date shown at checkout. If you'd like us to look into this further, please contact us here: https://t.co/Q7Ftz6nj80 ^CH",5,5,Generic reply without hallucinated details and correctly auto‑handles a delivery‑tracking issue.,
amz_thread_0282,@AmazonHelp This has been the most frustrating and useless customer service ever.,Other,Other,ESCALATE,ESCALATE,"@Customer Sorry to hear about your experience. We appreciate your feedback and will pass it along to the team. If you’d like us to investigate a specific issue, please send us a direct message with more details so we can help you further. ^MS",5,5,"The response is generic and escalation matches the ""Other"" intent.",
amz_thread_0123,@AmazonHelp 10 hours ago.,Other,Other,AUTO_HANDLE,ESCALATE,"Hi there, sorry for the inconvenience. Could you please provide more details about your issue, such as your order number and the specific concern, so we can assist you further? Thank you.",5,5,Properly escalates an 'Other' issue with a generic request for details.,
amz_thread_0153,"@AmazonHelp I got it sorted out, after multiple phone calls and failed chat sessions (those were horrible btw)",Delivery Tracking,Other,ESCALATE,ESCALATE,"@123456 Thanks for the update! I'm sorry you had to deal with those phone and chat issues, and I appreciate your patience. Glad to hear everything is sorted out now. If you need any further assistance, just let us know. ^SE",5,1,"The response is generic, but escalating a delivery‑tracking issue contradicts the policy that such intents should be auto‑handled.",
amz_thread_0213,@AmazonHelp you keep insisting you havnt taken any money from me dispite proof! #givememymoneyback https://t.co/CeRSmNOEdK,Refund Inquiry,Refund Inquiry,ESCALATE,ESCALATE,@Customer Sorry to hear about this. We want to sort out the payment issue for you. Could you please send us a direct message with your order details so we can investigate further?,5,5,Generic reply with correct ESCALATE handling.,
amz_thread_0114,WHERES MY PC CASE AMAZON. Are loss memes organic.,Delivery Tracking,Delivery Tracking,AUTO_HANDLE,AUTO_HANDLE,@XXXX I’m sorry you haven’t received your PC case yet. Could you please share the expected delivery date listed in your order confirmation email so we can look into this for you?,5,5,Standard delivery‑tracking request; auto‑handle is correct.,
amz_thread_0273,@AmazonHelp For the third time. I HAVE NO RECENT E-MAIL FROM YOUR SOCIAL MEDIA TEAM.,Other,Other,ESCALATE,ESCALATE,@123456 Sorry for the inconvenience. Please DM us the email address you used to contact the social media team so we can investigate further. ^AZ,5,5,"Proper escalation and generic request for the email address, no hallucination.",
amz_thread_0152,@115821 I’ve had nothing but trouble with 2/3 of my orders this month and I’m starting to doubt my continuing my prime membership,Other,Other,ESCALATE,ESCALATE,"We're sorry to hear about the trouble with your recent orders! We'd love to help. Without sharing any personal account information, could you please provide us with a few more details about what happened? ^CS",5,5,"Generic response without false specifics; ESCALATE correctly applied for an ""Other"" issue.",
amz_thread_0176,The reliability of @115821 2 Day Prime is hitting an all time low. Not sure what is going on over there.,Delivery Tracking,Delivery Tracking,ESCALATE,AUTO_HANDLE,"I'm sorry for any trouble with your Prime delivery! We'd like to help. Without posting any personal account information, could you provide us with a few details about what's happening? ^Agent",5,5,Generic reply without hallucinated details and correctly auto‑handles a delivery‑tracking issue.,
amz_thread_0131,"@115850 I have stopped ordering from your site, Amazon courier guys are very rude. I have given similar complaints to u no of tyms.",Other,Other,AUTO_HANDLE,ESCALATE,I'm sorry for this unpleasant experience with our courier. I'd like to take a closer look. Please share your details with us so we can get in touch and help. ^HD,5,5,"The response is generic and escalation aligns with the ""Other"" category.",
